Authors,Title,Publication year,Abstract,Keywords
Dagher I,Art networks with geometrical distances,2006,"In this paper, ART networks (Fuzzy ART and Fuzzy ARTMAP) with geometrical norms are presented. The category choice of these networks is based on the Lp norm. Geometrical properties of these architectures are presented. Comparisons between this category choice and the category choice of the ART networks are illustrated. And simulation results on the databases taken from the UCI repository are performed. It will be shown that using the Lp norm is geometrically more attractive. It will operate directly on the input patterns without the need for doing any preprocessing. It should be noted that the ART architecture requires two preprocessing steps: normalization and complement coding. Simulation results on different databases show the good generalization performance of the Fuzzy ARTMAP with Lp norm compared to the performance of a typical Fuzzy ARTMAP.","norm, Fuzzy ART, Fuzzy ARTMAP, Neural networks, Category choice"
"Ding X,Mower J,Subramanian D,Cohen T",Augmenting aer2vec: Enriching distributed representations of adverse event report data with orthographic and lexical information,2021,"Adverse Drug Events (ADEs) are prevalent, costly, and sometimes preventable. Post-marketing drug surveillance aims to monitor ADEs that occur after a drug is released to market. Reports of such ADEs are aggregated by reporting systems, such as the Food and Drug Administration (FDA) Adverse Event Reporting System (FAERS). In this paper, we consider the topic of how best to represent data derived from reports in FAERS for the purpose of detecting post-marketing surveillance signals, in order to inform regulatory decision making. In our previous work, we developed aer2vec, a method for deriving distributed representations (concept embeddings) of drugs and side effects from ADE reports, establishing the utility of distributional information for pharmacovigilance signal detection. In this paper, we advance this line of research further by evaluating the utility of encoding orthographic and lexical information. We do so by adapting two Natural Language Processing methods, subword embedding and vector retrofitting, which were developed to encode such information into word embeddings. Models were compared for their ability to distinguish between positive and negative examples in a set of manually curated drug/ADE relationships, with both aer2vec enhancements offering advantages in performances over baseline models, and best performance obtained when retrofitting and subword embeddings were applied in concert. In addition, this work demonstrates that models leveraging distributed representations do not require extensive manual preprocessing to perform well on this pharmacovigilance signal detection task, and may even benefit from information that would otherwise be lost during the normalization and standardization process.","Pharmacovigilance, Post-marketing surveillance, Natural language processing, Word embeddings, Retrofitting, Subword embeddings"
"Li J,Chen Q,Hu X,Yuan P,Cui L,Tu L,Cui J,Huang J,Jiang T,Ma X,Yao X,Zhou C,Lu H,Xu J",Establishment of noninvasive diabetes risk prediction model based on tongue features and machine learning techniques,2021,"Background Diabetes is a chronic noncommunicable disease with high incidence rate. Diabetics without early diagnosis or standard treatment may contribute to serious multisystem complications, which can be life threatening. Timely detection and intervention of prediabetes is very important to prevent diabetes, because it is inevitable in the development and progress of the disease. Objective Our objective was to establish the predictive model that can be applied to evaluate people with blood glucose in high and critical state. Methods We established the diabetes risk prediction model formed by a combined TCM tongue diagnosis with machine learning techniques. 1512 subjects were recruited from the hospital. After data preprocessing, we got the dataset 1 and dataset 2. Dataset 1 was used to train classical machine learning model, while dataset 2 was used to train deep learning model. To evaluate the performance of the prediction model, we used Classification Accuracy(CA), Precision, Recall, F1-score, Precision-Recall curve(P-R curve), Area Under the Precision-Recall curve(AUPRC), Receiver Operating Characteristic curve(ROC curve), Area Under the Receiver Operating Characteristic curve(AUROC), then selected the best diabetes risk prediction model. Results On the test set of dataset 1, the CA of non-invasive Stacking model was 71 %, micro average AUROC was 0.87, macro average AUROC was 0.84, and micro average AUPRC was 0.77. In the critical blood glucose group, the AUROC was 0.84, AUPRC was 0.67. In the high blood glucose group, AUROC was 0.87, AUPRC was 0.83. On the validation set of dataset 2, the CA of ResNet50 model was 69 %, micro average AUROC was 0.84, macro average AUROC was 0.83, and micro average AUPRC was 0.73. In the critical blood glucose group, AUROC was 0.88, AUPRC was 0.71. In the high blood glucose group, AUROC was 0.80, AUPRC was 0.76. On the test set of dataset 2, the CA of ResNet50 model was 65 %, micro average AUROC was 0.83, macro average AUROC was 0.82, and micro average AUPRC was 0.71. In the critical blood glucose group, the prediction of AUROC was 0.84, AUPRC was 0.60. In the high blood glucose group, AUROC was 0.87, AUPRC was 0.71. Conclusions Tongue features can improve the prediction accuracy of the diabetes risk prediction model formed by classical machine learning model significantly. In addition to the excellent performance, Stacking model and ResNet50 model which were recommended had non-invasive operation and were easy to use. Stacking model and ResNet50 model had high precision, low false positive rate and low misdiagnosis rate on detecting hyperglycemia. While on detecting blood glucose value in critical state, Stacking model and ResNet50 model had a high sensitivity, a low false negative rate and a low missed diagnosis rate. The study had proved that the differential changes of tongue features reflected the abnormal glucose metabolism, thus the diabetes risk prediction model formed by a combined TCM tongue diagnosis and machine learning technique was feasible.","Chinese medicine, Tongue diagnosis, Diabetes, High blood glucose, Critical blood glucose, Non-invasive, Machine learning, Risk prediction"
"Tsiknakis N,Theodoropoulos D,Manikis G,Ktistakis E,Boutsora O,Berto A,Scarpa F,Scarpa A,Fotiadis DI,Marias K",Deep learning for diabetic retinopathy detection and classification based on fundus images: A review,2021,"Diabetic Retinopathy is a retina disease caused by diabetes mellitus and it is the leading cause of blindness globally. Early detection and treatment are necessary in order to delay or avoid vision deterioration and vision loss. To that end, many artificial-intelligence-powered methods have been proposed by the research community for the detection and classification of diabetic retinopathy on fundus retina images. This review article provides a thorough analysis of the use of deep learning methods at the various steps of the diabetic retinopathy detection pipeline based on fundus images. We discuss several aspects of that pipeline, ranging from the datasets that are widely used by the research community, the preprocessing techniques employed and how these accelerate and improve the models' performance, to the development of such deep learning models for the diagnosis and grading of the disease as well as the localization of the disease's lesions. We also discuss certain models that have been applied in real clinical settings. Finally, we conclude with some important insights and provide future research directions.","Artificial intelligence, Classification, Deep learning, Detection, Diabetic retinopathy, Fundus, Retina, Review, Segmentation"
"Herrera-Pereda R,Taboada Crispi A,Babin D,Philips W,Holsbach Costa M",A Review On digital image processing techniques for in-Vivo confocal images of the cornea,2021,"This work reviews the scientific literature regarding digital image processing for in vivo confocal microscopy images of the cornea. We present and discuss a selection of prominent techniques designed for semi- and automatic analysis of four areas of the cornea (epithelium, sub-basal nerve plexus, stroma and endothelium). The main context is image enhancement, detection of structures of interest, and quantification of clinical information. We have found that the preprocessing stage lacks of quantitative studies regarding the quality of the enhanced image, or its effects in subsequent steps of the image processing. Threshold values are widely used in the reviewed methods, although generally, they are selected empirically and manually. The image processing results are evaluated in many cases through comparison with gold standards not widely accepted. It is necessary to standardize values to be quantified in terms of sensitivity and specificity of methods. Most of the reviewed studies do not show an estimation of the computational cost of the image processing. We conclude that reliable, automatic, computer-assisted image analysis of the cornea is still an open issue, constituting an interesting and worthwhile area of research.","Cornea, Confocal microscopy, Digital image processing, Review"
"Wu H,Yang S,Huang Z,He J,Wang X",Type 2 diabetes mellitus prediction model based on data mining,2018,"Due to its continuously increasing occurrence, more and more families are influenced by diabetes mellitus. Most diabetics know little about their health quality or the risk factors they face prior to diagnosis. In this study, we have proposed a novel model based on data mining techniques for predicting type 2 diabetes mellitus (T2DM). The main problems that we are trying to solve are to improve the accuracy of the prediction model, and to make the model adaptive to more than one dataset. Based on a series of preprocessing procedures, the model is comprised of two parts, the improved K-means algorithm and the logistic regression algorithm. The Pima Indians Diabetes Dataset and the Waikato Environment for Knowledge Analysis toolkit were utilized to compare our results with the results from other researchers. The conclusion shows that the model attained a 3.04% higher accuracy of prediction than those of other researchers. Moreover, our model ensures that the dataset quality is sufficient. To further evaluate the performance of our model, we applied it to two other diabetes datasets. Both experiments' results show good performance. As a result, the model is shown to be useful for the realistic health management of diabetes.","Hybrid prediction model, Data mining, Diabetes mellitus"
"Wang D,Zhang D,Lu G",A robust signal preprocessing framework for wrist pulse analysis,2016,"Wrist pulse has been a physical health indicator in Traditional Chinese Medicine (TCM) for a long history. With the development of sensor technology and bioinformatics, quantifying pulse diagnosis by using signal processing technology is attracting increasing attentions in recent years. Since wrist pulse signals collected by the sensors are often corrupted by artifacts in real situations, many approaches on the wrist pulse preprocessing including pulse de-noising and baseline wander removal are introduced for more accurate wrist pulse analysis. However, these scattered methods are incomplete with some limitations when used to preprocess our special pulse data for the clinical applications. This paper presents a robust signal preprocessing framework for wrist pulse analysis. The cascade filter based on frequency-dependent analysis (FDA) is first introduced to remove the high frequency noises and to select the significant pulse intervals. Then the curve fitting method is developed to adjust the direction and the baseline drift with minimum signal distortion. Last, the period segmentation and pulse normalization is applied for the feature extraction. The effectiveness of the proposed pulse preprocessing is validated through experiments on actual pulse records with biochemical markers. In contrast with the traditional methods, the proposed preprocessing framework is effective in extracting more accurate pulse features. And the highest classification rate 91.6% is obtained on diabetes diagnosis. The results demonstrate that our method is superior to the former pulse preprocessing researches and practical for wrist pulse analysis.","Wrist pulse preprocessing, Wavelet-based decomposition, Intra-class distance, Period segmentation"
"Garcia LP,Lehmann J,de Carvalho AC,Lorena AC",New label noise injection methods for the evaluation of noise filters,2019,"Noise is often present in real datasets used for training Machine Learning classifiers. Their disruptive effects in the learning process may include: increasing the complexity of the induced models, a higher processing time and a reduced predictive power in the classification of new examples. Therefore, treating noisy data in a preprocessing step is crucial for improving data quality and to reduce their harmful effects in the learning process. There are various filters using different concepts for identifying noisy examples in a dataset. Their ability in noise preprocessing is usually assessed in the identification of artificial noise injected into one or more datasets. This is performed to overcome the limitation that only a domain expert can guarantee whether a real example is indeed noisy. The most frequently used label noise injection method is the noise at random method, in which a percentage of the training examples have their labels randomly exchanged. This is carried out regardless of the characteristics and example space positions of the selected examples. This paper proposes two novel methods to inject label noise in classification datasets. These methods, based on complexity measures, can produce more challenging and realistic noisy datasets by the disturbance of the labels of critical examples situated close to the decision borders and can improve the noise filtering evaluation. An extensive experimental evaluation of different noise filters is performed using public datasets with imputed label noise and the influence of the noise injection methods are compared in both data preprocessing and classification steps.","Label noise, Noise injection, Borderline noise, Noise filters"
"An N,Xiao Y,Yuan J,Yang J,Alterovitz G",Extracting causal relations from the literature with word vector mapping,2019,"Causal graphs play an essential role in the determination of causalities and have been applied in many domains including biology and medicine. Traditional causal graph construction methods are usually data-driven and may not deliver the desired accuracy of a graph. Considering the vast number of publications with causality knowledge, extracting causal relations from the literature to help to establish causal graphs becomes possible. Current supervised-learning-based causality extraction methods requires sufficient labeled data to train a model, and rule-based causality extraction methods are limited by the predefined patterns. This paper proposes a causality extraction framework by integrating rule-based methods and unsupervised learning models to overcome these limitations. The proposed method consists of three modules, including data preprocessing, syntactic pattern matching, and causality determination. In data preprocessing, abstracts are crawled based on attribute names before sentences are extracted and simplified. In syntactic pattern matching, these simplified sentences are parsed to obtain the part-of-speech tags, and triples are achieved based on these tags by matching the two designed syntactic patterns. In causality determination, four verb seed sets are initialized, and word vectors are constructed for the verbs in both the seed sets and the triples by applying an unsupervised machine learning model. Causal relations are identified by comparing the similarity between the verbs in each triple and that in each seed set to overcome the limitation of the seed sets. Causality extraction results on the attributes from the risk factors for Alzheimer’s disease show that our method outperforms Bui’s method and Alashri’s method in terms of precision, recall, specificity, accuracy and F-score, with increases in the F-score of 8.29% and 5.37%, respectively.","Causality, Literature analysis, Word vector, Causal graph, Causal extraction"
Kiziloz HE,Classifier ensemble methods in feature selection,2021,"Feature selection has become an indispensable preprocessing step in an expert system. Improving the feature selection performance could guide such a system to make better decisions. Classifier ensembles are known to improve performance when compared to the use of a single classifier. In this study, we aim to perform a formal comparison of different classifier ensemble methods on the feature selection domain. For this purpose, we compare the performances of six classifier ensemble methods: a greedy approach, two average-based approaches, two majority voting approaches, and a meta-classifier approach. In our study, the classifier ensemble involves five machine learning techniques: Logistic Regression, Support Vector Machines, Extreme Learning Machine, Naïve Bayes, and Decision Tree. Experiments are carried on 12 well-known datasets, and results with statistical tests are provided. The results indicate that ensemble methods perform better than single classifiers, yet, they require a longer execution time. Moreover, they can minimize the number of features better than existing ensemble algorithms, namely Random Forest, AdaBoost, and Gradient Boosting, in a less amount of time. Among ensemble methods, the greedy based method performs well in terms of both classification accuracy and execution time.","Feature selection, Multiobjective optimization, Machine learning, Classifier ensemble"
